fecha,Transaction Description,categoria,monto,Type
2020-01-02,Compra de víveres minimarket,alimentacion,1485.69,Expense
2020-01-02,Recibo de luz Enel,servicios,1475.58,Expense
2020-01-04,Pago alquiler departamento,vivienda,1185.08,Expense
2020-01-05,Inversión fondo mutuo,otros,2291.0,Income
2020-01-13,Compra en Wong,alimentacion,1126.88,Expense
2020-01-14,Artículos de casa Sodimac,otros,448.68,Expense
2020-01-18,Compra Plaza Vea,alimentacion,1520.03,Expense
2020-01-19,Fotocopias e impresiones,otros,3287.0,Income
2020-01-21,Suscripción Netflix mensual,entretenimiento,1914.85,Expense
2020-01-25,Alquiler de local comercial,vivienda,766.06,Expense
2020-01-25,Consulta clínica San Felipe,salud,1211.41,Expense
2020-01-26,Pago de haberes sueldo,otros,1077.09,Expense
2020-01-29,Matrícula Universidad,educacion,166.81,Expense
2020-01-30,Consulta clínica San Felipe,salud,1158.93,Expense
2020-01-31,McDonald's combo familiar,alimentacion,1325.91,Expense
2020-01-31,Renta mensual de vivienda,vivienda,1712.08,Expense
2020-01-31,Artículos de casa Sodimac,otros,563.17,Expense
2020-02-02,Consulta pediatra,salud,333.68,Expense
2020-02-04,Pasaje de bus interprovincial,transporte,1406.62,Expense
2020-02-05,Alquiler de local comercial,vivienda,1222.17,Expense
2020-02-05,Inversión fondo mutuo,otros,1838.0,Income
2020-02-07,Servicio Taxi Uber,transporte,1979.15,Expense
2020-02-07,Suscripción HBO Max,entretenimiento,1372.38,Expense
2020-02-08,Supermercado Tottus,alimentacion,465.81,Expense
2020-02-08,Comisión bancaria mensual,otros,3786.0,Income
2020-02-09,Entradas Cineplanet,entretenimiento,1827.14,Expense
2020-02-11,Medicinas Mifarma,salud,433.13,Expense
2020-02-13,Depósito nómina mensual,otros,294.31,Expense
2020-02-15,Comisión bancaria mensual,otros,4009.0,Income
2020-02-16,Curso online Udemy,educacion,730.37,Expense
2020-02-16,Recibo de luz Enel,servicios,1023.96,Expense
2020-02-18,Inversión fondo mutuo,otros,1398.0,Income
2020-02-19,Inversión fondo mutuo,otros,3958.0,Income
2020-02-20,Tienda de ropa Saga Falabella,otros,769.42,Expense
2020-02-26,Pasaje aéreo Latam,transporte,1942.45,Expense
2020-02-27,McDonald's combo familiar,alimentacion,1363.76,Expense
